date,uClose,uOpen,uHigh,uLow,uVolume,close,open,high,low,volume,change,changePercent,label,changeOverTime
2014-05-27,625.63,615.88,625.86,615.63,12459515,89.38,87.98,89.41,87.95,87216601,0,0,"May 27, 14",0
2014-05-28,624.01,626.02,629.83,623.78,11274555,89.14,89.43,89.98,89.11,78921881,-0.2314,-0.2589,"May 28, 14",-0.002589
2014-05-29,635.38,627.85,636.87,627.77,13445519,90.77,89.69,90.98,89.68,94118628,1.62,1.8221,"May 29, 14",0.015585
2014-05-30,633,637.98,644.17,628.9,20143591,90.43,91.14,92.02,89.84,141005130,-0.34,-0.3746,"May 30, 14",0.011781
2014-06-02,628.65,633.96,634.83,622.5,13191129,89.81,90.57,90.69,88.93,92337898,-0.6215,-0.6873,"Jun 2, 14",0.004827
2014-06-03,637.54,628.46,638.74,628.25,10461660,91.08,89.78,91.25,89.75,73231616,1.27,1.4141,"Jun 3, 14",0.019036
2014-06-04,644.82,637.44,647.89,636.11,11981503,92.12,91.06,92.56,90.87,83870517,1.04,1.142,"Jun 4, 14",0.030674
2014-06-05,647.35,646.2,649.37,642.61,10850163,92.48,92.31,92.77,91.8,75951137,0.3614,0.3923,"Jun 5, 14",0.034717
2014-06-06,645.57,649.9,651.26,644.47,12517273,92.22,92.84,93.04,92.07,87620907,-0.2543,-0.275,"Jun 6, 14",0.031872
2014-06-09,93.7,92.7,93.88,91.75,75414804,93.7,92.7,93.88,91.75,75414804,1.48,1.6001,"Jun 9, 14",0.048383
2014-06-10,94.25,94.73,95.05,93.57,62777042,94.25,94.73,95.05,93.57,62777042,0.55,0.587,"Jun 10, 14",0.054537
2014-06-11,93.86,94.13,94.76,93.47,45681114,93.86,94.13,94.76,93.47,45681114,-0.39,-0.4138,"Jun 11, 14",0.050174
2014-06-12,92.29,94.04,94.12,91.9,54748791,92.29,94.04,94.12,91.9,54748791,-1.57,-1.6727,"Jun 12, 14",0.032607
2014-06-13,91.28,92.2,92.44,90.88,54525280,91.28,92.2,92.44,90.88,54525280,-1.01,-1.0944,"Jun 13, 14",0.021307
2014-06-16,92.2,91.51,92.75,91.45,35561270,92.2,91.51,92.75,91.45,35561270,0.92,1.0079,"Jun 16, 14",0.0316
2014-06-17,92.08,92.31,92.7,91.8,29726347,92.08,92.31,92.7,91.8,29726347,-0.12,-0.1302,"Jun 17, 14",0.030258
2014-06-18,92.18,92.27,92.29,91.35,33514108,92.18,92.27,92.29,91.35,33514108,0.1,0.1086,"Jun 18, 14",0.031377
2014-06-19,91.86,92.29,92.3,91.34,35527686,91.86,92.29,92.3,91.34,35527686,-0.32,-0.3471,"Jun 19, 14",0.027796
2014-06-20,90.91,91.85,92.55,90.9,100898066,90.91,91.85,92.55,90.9,100898066,-0.95,-1.0342,"Jun 20, 14",0.017167
2014-06-23,90.83,91.32,91.62,90.6,43694391,90.83,91.32,91.62,90.6,43694391,-0.08,-0.088,"Jun 23, 14",0.016272
2014-06-24,90.28,90.75,91.74,90.19,39036087,90.28,90.75,91.74,90.19,39036087,-0.55,-0.6055,"Jun 24, 14",0.010118
2014-06-25,90.36,90.21,90.7,89.65,36868541,90.36,90.21,90.7,89.65,36868541,0.08,0.0886,"Jun 25, 14",0.011013
2014-06-26,90.9,90.37,91.05,89.8,32629359,90.9,90.37,91.05,89.8,32629359,0.54,0.5976,"Jun 26, 14",0.017055
